record_type,record_index,name,description,cover_img_src,color,source_url,group,start_date,end_date,start_at_server,end_at_server,start_at_output_tz,end_at_output_tz,end_at_utc,has_expired,expires_in,is_cst_start,is_banner_event,banner_group
activity,10,[Bountiful Crescendo] Limited-Time Material Double Drop Event,Spend Waveplates to claim double rewards after completing a Simulation or Forgery Challenge.,/api/event-cover-images/file/bountiful-crescendo-limited-time-material-double-drop-event.png,#0e1419,https://wutheringwaves.kurogames.com/en/main/news/detail/5023,6,2026-09-03 04:00,2026-09-10 03:59,2026-09-03T04:00:00+08:00,2026-09-10T03:59:00+08:00,2026-09-02T20:00:00+00:00,2026-09-09T19:59:00+00:00,2026-09-09T19:59:00+00:00,False,5d 12h 44m,False,False,1
activity,2,Tower of Adversity: Hazard Revisited,,/api/event-cover-images/file/tower-of-adversity.png,#18235f,https://wutheringwaves.kurogames.com/en/main/news/detail/3128,2,2026-08-17 04:00,2026-09-14 03:59,2026-08-17T04:00:00+08:00,2026-09-14T03:59:00+08:00,2026-08-16T20:00:00+00:00,2026-09-13T19:59:00+00:00,2026-09-13T19:59:00+00:00,False,9d 12h 44m,False,False,1
activity,8,Second Coming of Solaris: Coded Deception Leisure Event,"Certain anomalies can be found in the game scenes. After locating these anomalies, use the Utility: Zoom Camera to capture them, then work with Bertolt to modify them. You may choose to mark these anomalies or intentionally distort them further. The choices you make will determine how players of The Second Coming of Solaris test server rate this scene after all anomalies have been handled.",/api/event-cover-images/file/second-coming-of-solaris-coded-deception.png,#233748,https://wutheringwaves.kurogames.com/en/main/news/detail/5310,,2026-08-27 04:00:00,2026-09-14 03:59:59,2026-08-27T04:00:00+08:00,2026-09-14T03:59:59+08:00,2026-08-26T20:00:00+00:00,2026-09-13T19:59:59+00:00,2026-09-13T19:59:59+00:00,False,9d 12h 45m,False,False,1
activity,11,The Strings Remember Leisure Event,"During the event, one event quest opens each day at 04:00 server time, for a total of 7 quests. You can receive Qingxiao's personal instruction at various locations, play pieces to refine your skill on the guqin, and earn the corresponding event rewards.",/api/event-cover-images/file/the-strings-remember-leisure-event.png,#7D6330,https://wutheringwaves.kurogames.com/en/main/news/detail/5310,,2026-09-03 04:00:00,2026-09-21 03:59,2026-09-03T04:00:00+08:00,2026-09-21T03:59:00+08:00,2026-09-02T20:00:00+00:00,2026-09-20T19:59:00+00:00,2026-09-20T19:59:00+00:00,False,16d 12h 44m,False,False,1
activity,9,Whimpering Wastes,Assemble unique lineups and equip distinct Tokens to conquer challenging levels.,/api/event-cover-images/file/whimpering-wastes-cover.jpg,#313042,https://wutheringwaves.kurogames.com/en/main/news/detail/2094,4,2026-08-31 04:00:00,2026-09-28 03:59:59,2026-08-31T04:00:00+08:00,2026-09-28T03:59:59+08:00,2026-08-30T20:00:00+00:00,2026-09-27T19:59:59+00:00,2026-09-27T19:59:59+00:00,False,23d 12h 45m,False,False,1
activity,3,Tactical Hologram: Simulation,,/api/event-cover-images/file/tactical-hologram-simulation.png,#3D575E,https://wutheringwaves.kurogames.com/en/main/news/detail/5023,3,2026-08-20 10:00,2026-09-28 13:59:59,2026-08-20T10:00:00+08:00,2026-09-28T13:59:59+08:00,2026-08-20T02:00:00+00:00,2026-09-28T05:59:59+00:00,2026-09-28T05:59:59+00:00,False,23d 22h 45m,True,False,1
activity,14,Featured Exploration Event: Fogveil Pagoda,Complete Survey Tasks daily to get Survey Points and claim rewards after meeting Survey Point requirements. Survey Tasks refresh every day at 04:00 (server time). Unclaimed Survey Points will be automatically claimed at this time.,/api/event-cover-images/file/featured-exploration-event-fogveil-pagoda.png,#0F354E,https://wutheringwaves.kurogames.com/en/main/news/detail/5310,,2026-09-17 04:00:00,2026-09-29 03:59:59,2026-09-17T04:00:00+08:00,2026-09-29T03:59:59+08:00,2026-09-16T20:00:00+00:00,2026-09-28T19:59:59+00:00,2026-09-28T19:59:59+00:00,False,24d 12h 45m,False,False,1
activity,5,Gifts of Drifting Mist 7-Day Login Event,"During the event, log in to claim the day's login rewards.",/api/event-cover-images/file/gifts-of-drifting-mist.png,#4C727A,https://wutheringwaves.kurogames.com/en/main/news/detail/5310,7,2026-08-20 10:00:00,2026-09-29 03:59:59,2026-08-20T10:00:00+08:00,2026-09-29T03:59:59+08:00,2026-08-20T02:00:00+00:00,2026-09-28T19:59:59+00:00,2026-09-28T19:59:59+00:00,False,24d 12h 45m,True,False,1
activity,12,If Dreams Still Reverberate Featured Co-op Combat Event,"This event consists of 14 stages, 7 Surface Layer stages and
7 Deep Layer stages. The stages will unlock gradually. Clear
each Surface Layer stage to unlock the corresponding Deep
Layer stage; clear all Surface Layer stages to unlock the
Abyss of the Final Dreams for a boss-rush challenge.",/api/event-cover-images/file/if-dreams-still-reverberate-featured-co-op-combat-event.png,#1D4A6C,https://wutheringwaves.kurogames.com/en/main/news/detail/5310,,2026-09-10 10:00:00,2026-09-29 03:59:59,2026-09-10T10:00:00+08:00,2026-09-29T03:59:59+08:00,2026-09-10T02:00:00+00:00,2026-09-28T19:59:59+00:00,2026-09-28T19:59:59+00:00,False,24d 12h 45m,False,False,1
activity,4,Pioneer Podcast,"During Pioneer Podcast, you can obtain Podcast EXP by completing Podcast Tasks to increase the Podcast Level and win various rewards.",/api/event-cover-images/file/3-6-pioneer-podcast.png,#40538B,https://wutheringwaves.kurogames.com/en/main/news/detail/5310,8,2026-08-20 10:00:00,2026-09-29 03:59:59,2026-08-20T10:00:00+08:00,2026-09-29T03:59:59+08:00,2026-08-20T02:00:00+00:00,2026-09-28T19:59:59+00:00,2026-09-28T19:59:59+00:00,False,24d 12h 45m,True,False,1
activity,15,[Chord Cleansing] Limited-Time Echo Double Drop Event,Spend Waveplates to claim double rewards after completing a Tacet Suppression challenge.,/api/event-cover-images/file/chord-cleansing-limited-time-double-drop-event.png,#3c3222,https://wutheringwaves.kurogames.com/en/main/news/detail/5310,6,2026-09-22 04:00:00,2026-09-29 03:59:59,2026-09-22T04:00:00+08:00,2026-09-29T03:59:59+08:00,2026-09-21T20:00:00+00:00,2026-09-28T19:59:59+00:00,2026-09-28T19:59:59+00:00,False,24d 12h 45m,False,False,1
activity,7,Resonance Sim Realm Combat Event,"In this mode, you fight simulated battles from a top-down side view using Rover: Spectro or Rover: Havoc. Within a stage, Rover can obtain Resonance Factors of different Resonators, granting corresponding special enhancements to the basic skills or strengthening other combat abilities.",/api/event-cover-images/file/resonance-sim-realm-combat-event.png,#2F28A1,https://wutheringwaves.kurogames.com/en/main/news/detail/5310,,2026-08-22 10:00:00,2026-09-29 11:59:59,2026-08-22T10:00:00+08:00,2026-09-29T11:59:59+08:00,2026-08-22T02:00:00+00:00,2026-09-29T03:59:59+00:00,2026-09-29T03:59:59+00:00,False,24d 20h 45m,False,False,1
activity,6,Endstate Matrix,"In Endstate Matrix, deploy Resonators and select a Power Circuit before starting a high-difficulty challenge. Endstate Matrix progresses through Challenge Cycles. Each Challenge Cycle spans across multiple Challenge Phases, which reset with version updates. Rewards are offered independently for Challenge Cycles and Challenge Phases.",/api/event-cover-images/file/endstate-matrix-denia.png,#5C639F,https://wutheringwaves.kurogames.com/en/main/news/detail/5023,1,2026-08-20 10:00:00,2026-09-29 13:59:59,2026-08-20T10:00:00+08:00,2026-09-29T13:59:59+08:00,2026-08-20T02:00:00+00:00,2026-09-29T05:59:59+00:00,2026-09-29T05:59:59+00:00,False,24d 22h 45m,False,False,1
activity,13,Tower of Adversity: Hazard Revisited,,/api/event-cover-images/file/tower-of-adversity.png,#18235f,https://wutheringwaves.kurogames.com/en/main/news/detail/3128,2,2026-09-14 04:00,2026-10-12 03:59,2026-09-14T04:00:00+08:00,2026-10-12T03:59:00+08:00,2026-09-13T20:00:00+00:00,2026-10-11T19:59:00+00:00,2026-10-11T19:59:00+00:00,False,37d 12h 44m,False,False,1
activity,1,Whimpering Wastes,Assemble unique lineups and equip distinct Tokens to conquer challenging levels.,/api/event-cover-images/file/whimpering-wastes-cover.jpg,#313042,https://wutheringwaves.kurogames.com/en/main/news/detail/2094,4,2026-08-03 04:00:00,2026-08-31 03:59:59,2026-08-03T04:00:00+08:00,2026-08-31T03:59:59+08:00,2026-08-02T20:00:00+00:00,2026-08-30T19:59:59+00:00,2026-08-30T19:59:59+00:00,True,0d 0h 0m,False,False,1
