record_type,record_index,name,description,cover_img_src,color,source_url,group,start_date,end_date,end_at_utc,has_expired,expires_in,is_cst_start,is_banner_event,banner_group
activity,4,Fantasies of the Thousand Gateways,,/api/event-cover-images/file/fantasies-of-the-thousand-gateways.png,#c47385,https://wutheringwaves.kurogames.com/en/main/news/detail/3088,5,2026-04-27 04:00,2026-05-04 03:59,2026-05-04T03:59:00+00:00,False,1d 11h 3m,False,False,1
activity,16,Fantasies of the Thousand Gateways,,/api/event-cover-images/file/fantasies-of-the-thousand-gateways.png,#c47385,https://wutheringwaves.kurogames.com/en/main/news/detail/3088,5,2026-05-04 04:00,2026-05-11 03:59,2026-05-11T03:59:00+00:00,False,8d 11h 3m,False,False,1
activity,2,Whimpering Wastes,Assemble unique lineups and equip distinct Tokens to conquer challenging levels.,/api/event-cover-images/file/whimpering-wastes-cover.jpg,#313042,https://wutheringwaves.kurogames.com/en/main/news/detail/2094,4,2026-04-13 04:00:00,2026-05-11 03:59:59,2026-05-11T03:59:59+00:00,False,8d 11h 4m,False,False,1
activity,20,[Bountiful Crescendo] Limited-Time Material Double Drop Event,Spend Waveplates to claim double rewards after completing a Simulation or Forgery Challenge.,/api/event-cover-images/file/bountiful-crescendo-limited-time-material-double-drop-event.png,#0e1419,https://wutheringwaves.kurogames.com/en/main/news/detail/4418,6,2026-05-14 04:00,2026-05-21 03:59,2026-05-21T03:59:00+00:00,False,18d 11h 3m,False,False,1
activity,17,Aced! Combat Mastery Test!,The event features 7 sets of tests. Each set consists of a Preliminary Test with Associate Assessors and a Final Test with a Chief Assessor. Meet the various requirements to buff up the team in the Preliminary Test. All buffs obtained in the Preliminary Test are carried over in the Final Test.,/api/event-cover-images/file/aced-combat-mastery-test.png,#278a81,https://wutheringwaves.kurogames.com/en/main/news/detail/4605,,2026-05-07 04:00,2026-05-21 03:59:59,2026-05-21T03:59:59+00:00,False,18d 11h 4m,False,False,1
activity,8,Crossworld Sync: Pt. 1,"""Resident Evil 30th Anniversary,"" ""Angry Birds,"" and ""Kaiju No. 8"" Collab Event. Complete tasks in the Collab Event to obtain the corresponding Collab Livery and various levelling Materials.",/api/event-cover-images/file/crossworld-sync-pt-1.png,#252a2e,https://wutheringwaves.kurogames.com/en/main/news/detail/4605,,2026-04-30 10:00,2026-05-21 09:59:59,2026-05-21T09:59:59+00:00,False,18d 17h 4m,True,False,1
activity,3,Tower of Adversity: Hazard Revisited,,/api/event-cover-images/file/tower-of-adversity.png,#18235f,https://wutheringwaves.kurogames.com/en/main/news/detail/3128,2,2026-04-27 04:00,2026-05-25 03:59,2026-05-25T03:59:00+00:00,False,22d 11h 3m,False,False,1
activity,19,Cubie Derby: Championship,"During the event, Cubes will take part in matches in various groups. The entire competition is comprised of 3 Stages: Preliminary, Eliminator, and the Final. You can support your favorite Cube by predicting the Match Winner of the day. After the round, Popularity rewards are granted based on the Cubes' final placements and the prediction outcomes.",/api/event-cover-images/file/cubie-derby-championship.png,#0457fe,https://wutheringwaves.kurogames.com/en/main/news/detail/4605,,2026-05-09 10:00,2026-05-25 03:59:59,2026-05-25T03:59:59+00:00,False,22d 11h 4m,False,False,1
activity,5,Endstate Matrix High Difficulty Recurring Challenge,"In Endstate Matrix, deploy Resonators and select a Power Circuit before starting a high-difficulty challenge. Endstate Matrix progresses through Challenge Cycles. Each Challenge Cycle spans across multiple Challenge Phases, which reset with version updates. Rewards are offered independently for Challenge Cycles and Challenge Phases.",/api/event-cover-images/file/endstate-matrix-high-difficulty-recurring-challenge.png,#812831,https://wutheringwaves.kurogames.com/en/main/news/detail/4418,1,2026-04-30 04:00,2026-05-28 03:59:59,2026-05-28T03:59:59+00:00,False,25d 11h 4m,False,False,1
activity,6,Tactical Hologram: Synchronization,"[Tactical Hologram: Synchronization] is a prime testing ground for combat prowess, where powerful foes abound. Get ready to challenge Tactical Hologram: Hyvatia in Version 3.2's Tactical Hologram!",/api/event-cover-images/file/tactical-hologram-hyvatia.png,#3c4f90,https://www.facebook.com/WutheringWaves.Official/posts/tactical-hologram-update-coming-soontactical-hologram-synchronization-is-a-prime/945635914689302/,3,2026-04-30 10:00,2026-06-06 13:59:59,2026-06-06T13:59:59+00:00,False,34d 21h 4m,True,False,1
